,name,region,season,source,stat,val
0,2025-cheap-ets,CZ,Y,nuclear,capacity_GW,4.047
1,2025-cheap-ets,CZ,Y,solar,capacity_GW,3.5
2,2025-cheap-ets,CZ,Y,onshore,capacity_GW,0.34
3,2025-cheap-ets,CZ,Y,biogas,capacity_GW,0.372
4,2025-cheap-ets,CZ,Y,lig_sc,capacity_GW,0.581
5,2025-cheap-ets,CZ,Y,bio,capacity_GW,0
6,2025-cheap-ets,CZ,Y,b_CHP,capacity_GW,0.177
7,2025-cheap-ets,CZ,Y,lig,capacity_GW,1.294
8,2025-cheap-ets,CZ,Y,lig_ex,capacity_GW,1.839
9,2025-cheap-ets,CZ,Y,lig_old,capacity_GW,0
10,2025-cheap-ets,CZ,Y,gas_ccgt,capacity_GW,0.823
11,2025-cheap-ets,CZ,Y,gas_chp,capacity_GW,0.759
12,2025-cheap-ets,CZ,Y,coal,capacity_GW,0
13,2025-cheap-ets,CZ,Y,coal_ex,capacity_GW,0
14,2025-cheap-ets,CZ,Y,gas_peak,capacity_GW,0.128
15,2025-cheap-ets,CZ,Y,gas_eng_chp,capacity_GW,0.367
16,2025-cheap-ets,CZ,Y,lig_bp,capacity_GW,0.603
17,2025-cheap-ets,CZ,Y,coal_bp,capacity_GW,0
18,2025-cheap-ets,CZ,Y,dsr,capacity_GW,0
19,2025-cheap-ets,CZ,Y,h_ror,capacity_GW,0.432
20,2025-cheap-ets,CZ,Y,h_dams,capacity_GW,0.698
21,2025-cheap-ets,CZ,Y,li,capacity_GW,0.043
22,2025-cheap-ets,CZ,Y,pump_open,capacity_GW,0.47
23,2025-cheap-ets,CZ,Y,pump,capacity_GW,0.688
24,2025-cheap-ets,CZ,Y,heat,capacity_GW,5
25,2025-cheap-ets,CZ,Y,TOTAL,capacity_GW,22.162
26,2025-cheap-ets,CZ,Y,TOTAL,load_TWh,64.073
27,2025-cheap-ets,CZ,S,TOTAL,load_TWh,29.218
28,2025-cheap-ets,CZ,W,TOTAL,load_TWh,34.855
29,2025-cheap-ets,CZ,Y,TOTAL,import_TWh,2.352
30,2025-cheap-ets,CZ,S,TOTAL,import_TWh,1.04
31,2025-cheap-ets,CZ,W,TOTAL,import_TWh,1.312
32,2025-cheap-ets,CZ,Y,TOTAL,export_TWh,8.658
33,2025-cheap-ets,CZ,S,TOTAL,export_TWh,4.93
34,2025-cheap-ets,CZ,W,TOTAL,export_TWh,3.728
35,2025-cheap-ets,CZ,Y,TOTAL,net_import_TWh,-6.305
36,2025-cheap-ets,CZ,S,TOTAL,net_import_TWh,-3.889
37,2025-cheap-ets,CZ,W,TOTAL,net_import_TWh,-2.416
38,2025-cheap-ets,CZ,Y,TOTAL,curtailment_TWh,0
39,2025-cheap-ets,CZ,S,TOTAL,curtailment_TWh,0
40,2025-cheap-ets,CZ,W,TOTAL,curtailment_TWh,0
41,2025-cheap-ets,CZ,Y,nuclear,production_TWh,28.237
42,2025-cheap-ets,CZ,Y,solar,production_TWh,3.844
43,2025-cheap-ets,CZ,Y,onshore,production_TWh,0.758
44,2025-cheap-ets,CZ,Y,biogas,production_TWh,2.607
45,2025-cheap-ets,CZ,Y,lig_sc,production_TWh,4.326
46,2025-cheap-ets,CZ,Y,bio,production_TWh,0
47,2025-cheap-ets,CZ,Y,b_CHP,production_TWh,1.223
48,2025-cheap-ets,CZ,Y,lig,production_TWh,9.635
49,2025-cheap-ets,CZ,Y,lig_ex,production_TWh,9.326
50,2025-cheap-ets,CZ,Y,lig_old,production_TWh,0
51,2025-cheap-ets,CZ,Y,gas_ccgt,production_TWh,1.085
52,2025-cheap-ets,CZ,Y,gas_chp,production_TWh,1.246
53,2025-cheap-ets,CZ,Y,coal,production_TWh,0
54,2025-cheap-ets,CZ,Y,coal_ex,production_TWh,0
55,2025-cheap-ets,CZ,Y,gas_peak,production_TWh,0
56,2025-cheap-ets,CZ,Y,gas_eng_chp,production_TWh,1.309
57,2025-cheap-ets,CZ,Y,lig_bp,production_TWh,4.49
58,2025-cheap-ets,CZ,Y,coal_bp,production_TWh,0
59,2025-cheap-ets,CZ,Y,dsr,production_TWh,0
60,2025-cheap-ets,CZ,Y,eens,production_TWh,0
61,2025-cheap-ets,CZ,Y,h_ror,production_TWh,1.321
62,2025-cheap-ets,CZ,Y,h_dams,production_TWh,1.063
63,2025-cheap-ets,CZ,Y,li,production_TWh,0.028
64,2025-cheap-ets,CZ,Y,pump_open,production_TWh,0.146
65,2025-cheap-ets,CZ,Y,pump,production_TWh,0.194
66,2025-cheap-ets,CZ,Y,heat,production_TWh,0.577
67,2025-cheap-ets,CZ,Y,TOTAL,production_TWh,71.416
68,2025-cheap-ets,CZ,S,nuclear,production_TWh,13.715
69,2025-cheap-ets,CZ,S,solar,production_TWh,2.745
70,2025-cheap-ets,CZ,S,onshore,production_TWh,0.299
71,2025-cheap-ets,CZ,S,biogas,production_TWh,1.217
72,2025-cheap-ets,CZ,S,lig_sc,production_TWh,1.88
73,2025-cheap-ets,CZ,S,bio,production_TWh,0
74,2025-cheap-ets,CZ,S,b_CHP,production_TWh,0.506
75,2025-cheap-ets,CZ,S,lig,production_TWh,4.186
76,2025-cheap-ets,CZ,S,lig_ex,production_TWh,4.733
77,2025-cheap-ets,CZ,S,lig_old,production_TWh,0
78,2025-cheap-ets,CZ,S,gas_ccgt,production_TWh,0
79,2025-cheap-ets,CZ,S,gas_chp,production_TWh,-0
80,2025-cheap-ets,CZ,S,coal,production_TWh,0
81,2025-cheap-ets,CZ,S,coal_ex,production_TWh,0
82,2025-cheap-ets,CZ,S,gas_peak,production_TWh,0
83,2025-cheap-ets,CZ,S,gas_eng_chp,production_TWh,0.597
84,2025-cheap-ets,CZ,S,lig_bp,production_TWh,1.904
85,2025-cheap-ets,CZ,S,coal_bp,production_TWh,0
86,2025-cheap-ets,CZ,S,dsr,production_TWh,0
87,2025-cheap-ets,CZ,S,eens,production_TWh,0
88,2025-cheap-ets,CZ,S,h_ror,production_TWh,0.776
89,2025-cheap-ets,CZ,S,h_dams,production_TWh,0.625
90,2025-cheap-ets,CZ,S,li,production_TWh,0.014
91,2025-cheap-ets,CZ,S,pump_open,production_TWh,0.11
92,2025-cheap-ets,CZ,S,pump,production_TWh,0.15
93,2025-cheap-ets,CZ,S,heat,production_TWh,0.214
94,2025-cheap-ets,CZ,S,TOTAL,production_TWh,142.831
95,2025-cheap-ets,CZ,W,nuclear,production_TWh,14.522
