name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
subsidy-0,AT,S,avg_consumer_price_EUR_per_MWh,,73.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,S,avg_producer_price_EUR_per_MWh,,72.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,S,capacity_factor,,1.134,,,0.67,,,,,0,,0.068,,0,,,0.103,0.784,0.758,,0.071,,,0,,,,,0.211,0.109,0.262,0.181
subsidy-0,AT,S,capex_mn_EUR_per_yr,,,,,93.815,,,,,0,,348.145,,6.52,,,566.191,233.476,1000.027,,3.466,,,91.618,,,,,1161.491,91.415,944.116,670.672
subsidy-0,AT,S,charged_TWh,,8.904,,,,,,,,,,,,,,,0,0,0,,0.018,,,,,,,,,0.3,3.339,
subsidy-0,AT,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,S,discharged_TWh,,89.35,,,,,,,,,,,,,,,1.259,3.933,16.29,,0.016,,,,,,,,,0.215,5.314,
subsidy-0,AT,S,emissions_MtCO2,,8.47,,,0,,,,,0,0,0.38,,0,,,0,0,0,,0,,,0,,,,,0,0,0,0
subsidy-0,AT,S,export_TWh,,10.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,S,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
subsidy-0,AT,S,import_TWh,,7.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,S,inflow_TWh,,,,,,,,,,,,,,,,,2,3.979,16.456,,,,,,,,,,,,4.563,
subsidy-0,AT,S,load_TWh,,37.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,S,net_import_TWh,,-2.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,S,opex_mn_EUR,,,,,146.363,,,,,0,,103.959,,0,,,3.778,7.867,,,0.032,,,0,,,,,0,0.86,21.257,0
subsidy-0,AT,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951,,,0.948
subsidy-0,AT,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,,,0.052
subsidy-0,AT,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,AT,S,production_TWh,,178.857,,,2.053,,,,,0,0,0.967,,0,,,1.259,3.933,16.29,,0.016,,,0,,,,,7.02,0.215,5.314,7.272
subsidy-0,AT,S,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
subsidy-0,AT,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,AT,S,production_hours,,,,,3133,,,,,0,0,411,,0,,,4368,3635,4368,,432,,,0,,,,,,532,1657,
subsidy-0,AT,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02,,,7.272
subsidy-0,AT,S,wholesale_expenses_mn_EUR,121.221,,,,,,,,,,,,,,,,0,0,0,,1.234,,,,,,,,,18.503,211.69,
subsidy-0,AT,S,wholesale_revenues_mn_EUR,629.1,,,,158.36,,,,,0,,102.985,,0,,,93.406,292.497,1181.841,,1.195,,,0,,,,,497.758,15.475,387.901,502.163
subsidy-0,AT,W,avg_consumer_price_EUR_per_MWh,,99.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,W,avg_producer_price_EUR_per_MWh,,99.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,W,capacity_factor,,1.127,,,0.93,,,,,0,,0.682,,0.001,,,0.1,0.504,0.487,,0.098,,,0.004,,,,,0.332,0.03,0.16,0.092
subsidy-0,AT,W,capex_mn_EUR_per_yr,,,,,93.815,,,,,0,,348.145,,6.52,,,566.191,233.476,1000.027,,3.466,,,91.618,,,,,1161.491,91.415,944.116,670.672
subsidy-0,AT,W,charged_TWh,,8.904,,,,,,,,,,,,,,,0,0,0,,0.025,,,,,,,,,0.081,0.69,
subsidy-0,AT,W,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,W,discharged_TWh,,89.35,,,,,,,,,,,,,,,1.226,2.545,10.538,,0.022,,,,,,,,,0.059,3.257,
subsidy-0,AT,W,emissions_MtCO2,,8.47,,,0,,,,,0,0,3.84,,0,,,0,0,0,,0,,,0.015,,,,,0,0,0,0
subsidy-0,AT,W,export_TWh,,8.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,W,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
subsidy-0,AT,W,import_TWh,,7.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,W,inflow_TWh,,,,,,,,,,,,,,,,,0.485,2.584,10.686,,,,,,,,,,,,1.107,
subsidy-0,AT,W,load_TWh,,44.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,W,net_import_TWh,,-0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,W,opex_mn_EUR,,,,,201.329,,,,,0,,1041.4,,0.106,,,3.677,5.089,21.076,,0.044,,,1.968,,,,,0,0.236,13.03,0
subsidy-0,AT,W,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967,,,0.933
subsidy-0,AT,W,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,,0.067
subsidy-0,AT,W,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,AT,W,production_TWh,,178.857,,,2.867,,,,,0,0,9.774,,0.001,,,1.226,2.545,10.538,,0.022,,,0.015,,,,,11.072,0.059,3.257,3.713
subsidy-0,AT,W,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,0.015,,,,,,,,
subsidy-0,AT,W,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,AT,W,production_hours,,,,,4163,,,,,0,0,3366,,6,,,4392,2450,4392,,599,,,35,,,,,,156,1006,
subsidy-0,AT,W,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.072,,,3.713
subsidy-0,AT,W,wholesale_expenses_mn_EUR,386.395,,,,,,,,,,,,,,,,0,0,0,,2.43,,,,,,,,,6.058,45.302,
subsidy-0,AT,W,wholesale_revenues_mn_EUR,491.227,,,,291.113,,,,,0,,1055.165,,0.106,,,128.194,247.209,1011.902,,2.238,,,1.905,,,,,1031.517,5.56,336.116,348.205
subsidy-0,AT,Y,avg_consumer_price_EUR_per_MWh,,87.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,Y,avg_producer_price_EUR_per_MWh,,89.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,Y,capacity_GW,,36.119,,,0.702,,,,,0.38,,3.263,,0.12,,,2.787,1.149,4.923,,0.052,,,0.845,,,,,7.6,0.45,4.648,9.2
subsidy-0,AT,Y,capacity_factor,,0.283,,,0.8,,,,,0,,0.376,,0.001,,,0.102,0.643,0.622,,0.084,,,0.002,,,,,0.272,0.07,0.211,0.136
subsidy-0,AT,Y,capex_mn_EUR_per_yr,,,,,93.815,,,,,0,,348.145,,6.52,,,566.191,233.476,1000.027,,3.466,,,91.618,,,,,1161.491,91.415,944.116,670.672
subsidy-0,AT,Y,charged_TWh,,4.452,,,,,,,,,,,,,,,0,0,0,,0.042,,,,,,,,,0.381,4.029,
subsidy-0,AT,Y,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,Y,discharged_TWh,,44.675,,,,,,,,,,,,,,,2.485,6.478,26.828,,0.038,,,,,,,,,0.274,8.572,
subsidy-0,AT,Y,emissions_MtCO2,,4.235,,,0,,,,,0,0,4.22,,0,,,0,0,0,,0,,,0.015,,,,,0,0,0,0
subsidy-0,AT,Y,export_TWh,,18.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,Y,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
subsidy-0,AT,Y,import_TWh,,15.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,Y,inflow_TWh,,,,,,,,,,,,,,,,,2.485,6.563,27.142,,,,,,,,,,,,5.67,
subsidy-0,AT,Y,load_TWh,,82.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,Y,net_import_TWh,,-2.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,AT,Y,opex_mn_EUR,,,,,347.692,,,,,0,,1145.359,,0.106,,,7.455,12.956,53.657,,0.076,,,1.968,,,,,0,1.096,34.286,0
subsidy-0,AT,Y,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,,,0.943
subsidy-0,AT,Y,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,,,0.057
subsidy-0,AT,Y,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,AT,Y,production_TWh,,89.429,,,4.92,,,,,0,0,10.741,,0.001,,,2.485,6.478,26.828,,0.038,,,0.015,,,,,18.092,0.274,8.572,10.985
subsidy-0,AT,Y,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,0.015,,,,,,,,
subsidy-0,AT,Y,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,AT,Y,production_hours,,,,,7296,,,,,0,0,3777,,6,,,8760,6085,8760,,1031,,,35,,,,,,688,2663,
subsidy-0,AT,Y,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.092,,,10.985
subsidy-0,AT,Y,wholesale_expenses_mn_EUR,507.616,,,,,,,,,,,,,,,,0,0,0,,3.665,,,,,,,,,24.56,256.993,
subsidy-0,AT,Y,wholesale_revenues_mn_EUR,1120.328,,,,449.473,,,,,0,,1158.149,,0.106,,,221.6,539.706,2193.743,,3.433,,,1.905,,,,,1529.275,21.035,724.017,850.368
subsidy-0,BA,S,avg_consumer_price_EUR_per_MWh,,106.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,S,avg_producer_price_EUR_per_MWh,,106.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,S,capacity_factor,,0.698,,,,,,,,,,,,,,,0.273,0.247,0.151,,,0,,,,,,,0.16,,0.035,0.196
subsidy-0,BA,S,capex_mn_EUR_per_yr,,,,,,,,,,,,,,,,,387.194,22.062,8.288,,,139.84,,,,,,,120.214,,89.384,33.154
subsidy-0,BA,S,charged_TWh,,0.016,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0.004,
subsidy-0,BA,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,S,discharged_TWh,,12.158,,,,,,,,,,,,,,,2.27,0.117,0.027,,,,,,,,,,,,0.067,
subsidy-0,BA,S,emissions_MtCO2,,0,,,,,,,,,0,,,,,,0,0,0,,,0,,,,,,,0,,0,0
subsidy-0,BA,S,export_TWh,,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,S,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,S,import_TWh,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,S,inflow_TWh,,,,,,,,,,,,,,,,,2.11,0.117,0.027,,,,,,,,,,,,0.064,
subsidy-0,BA,S,load_TWh,,5.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,S,net_import_TWh,,2.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,S,opex_mn_EUR,,,,,,,,,,,,,,,,,6.811,0.234,,,,0,,,,,,,0,,0.267,0
subsidy-0,BA,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
subsidy-0,BA,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,BA,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,BA,S,production_TWh,,16.728,,,,,,,,,0,,,,,,2.27,0.117,0.027,,,0,,,,,,,0.549,,0.067,0.39
subsidy-0,BA,S,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,BA,S,production_hours,,,,,,,,,,,0,,,,,,4368,1136,4368,,,0,,,,,,,,,291,
subsidy-0,BA,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.549,,,0.39
subsidy-0,BA,S,wholesale_expenses_mn_EUR,238.528,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0.299,
subsidy-0,BA,S,wholesale_revenues_mn_EUR,15.802,,,,,,,,,,,,,,,,227.14,14.208,2.857,,,0,,,,,,,57.163,,7.042,42.37
subsidy-0,BA,W,avg_consumer_price_EUR_per_MWh,,107.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,W,avg_producer_price_EUR_per_MWh,,106.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,W,capacity_factor,,0.694,,,,,,,,,,,,,,,0.36,0.389,0.239,,,0,,,,,,,0.334,,0.185,0.096
subsidy-0,BA,W,capex_mn_EUR_per_yr,,,,,,,,,,,,,,,,,387.194,22.062,8.288,,,139.84,,,,,,,120.214,,89.384,33.154
subsidy-0,BA,W,charged_TWh,,0.016,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0.004,
subsidy-0,BA,W,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,W,discharged_TWh,,12.158,,,,,,,,,,,,,,,3.013,0.186,0.043,,,,,,,,,,,,0.357,
subsidy-0,BA,W,emissions_MtCO2,,0,,,,,,,,,0,,,,,,0,0,0,,,0,,,,,,,0,,0,0
subsidy-0,BA,W,export_TWh,,1.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,W,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,W,import_TWh,,2.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,W,inflow_TWh,,,,,,,,,,,,,,,,,3.173,0.186,0.043,,,,,,,,,,,,0.353,
subsidy-0,BA,W,load_TWh,,6.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,W,net_import_TWh,,1.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,W,opex_mn_EUR,,,,,,,,,,,,,,,,,9.04,0.371,0.086,,,0,,,,,,,0,,1.427,0
subsidy-0,BA,W,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
subsidy-0,BA,W,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,BA,W,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,BA,W,production_TWh,,16.728,,,,,,,,,0,,,,,,3.013,0.186,0.043,,,0,,,,,,,1.154,,0.357,0.193
subsidy-0,BA,W,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,W,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,BA,W,production_hours,,,,,,,,,,,0,,,,,,4392,1764,4392,,,0,,,,,,,,,1048,
subsidy-0,BA,W,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.154,,,0.193
subsidy-0,BA,W,wholesale_expenses_mn_EUR,192.048,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0.318,
subsidy-0,BA,W,wholesale_revenues_mn_EUR,33.771,,,,,,,,,,,,,,,,310.767,22.485,4.63,,,0,,,,,,,121.563,,39.018,21.238
subsidy-0,BA,Y,avg_consumer_price_EUR_per_MWh,,106.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,Y,avg_producer_price_EUR_per_MWh,,106.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,Y,capacity_GW,,5.485,,,,,,,,,,,,,,,1.906,0.109,0.041,,,1.748,,,,,,,0.787,,0.44,0.455
subsidy-0,BA,Y,capacity_factor,,0.174,,,,,,,,,,,,,,,0.316,0.318,0.195,,,0,,,,,,,0.247,,0.11,0.146
subsidy-0,BA,Y,capex_mn_EUR_per_yr,,,,,,,,,,,,,,,,,387.194,22.062,8.288,,,139.84,,,,,,,120.214,,89.384,33.154
subsidy-0,BA,Y,charged_TWh,,0.008,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0.008,
subsidy-0,BA,Y,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,Y,discharged_TWh,,6.079,,,,,,,,,,,,,,,5.283,0.303,0.07,,,,,,,,,,,,0.423,
subsidy-0,BA,Y,emissions_MtCO2,,0,,,,,,,,,0,,,,,,0,0,0,,,0,,,,,,,0,,0,0
subsidy-0,BA,Y,export_TWh,,1.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,Y,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,Y,import_TWh,,5.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,Y,inflow_TWh,,,,,,,,,,,,,,,,,5.283,0.303,0.07,,,,,,,,,,,,0.418,
subsidy-0,BA,Y,load_TWh,,11.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,Y,net_import_TWh,,3.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,Y,opex_mn_EUR,,,,,,,,,,,,,,,,,15.85,0.605,0.139,,,0,,,,,,,0,,1.693,0
subsidy-0,BA,Y,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
subsidy-0,BA,Y,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,BA,Y,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,BA,Y,production_TWh,,8.364,,,,,,,,,0,,,,,,5.283,0.303,0.07,,,0,,,,,,,1.702,,0.423,0.583
subsidy-0,BA,Y,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BA,Y,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,BA,Y,production_hours,,,,,,,,,,,0,,,,,,8760,2900,8760,,,0,,,,,,,,,1339,
subsidy-0,BA,Y,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.702,,,0.583
subsidy-0,BA,Y,wholesale_expenses_mn_EUR,430.576,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0.617,
subsidy-0,BA,Y,wholesale_revenues_mn_EUR,49.573,,,,,,,,,,,,,,,,537.908,36.693,7.487,,,0,,,,,,,178.726,,46.06,63.608
subsidy-0,BE,S,avg_consumer_price_EUR_per_MWh,,86.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,S,avg_producer_price_EUR_per_MWh,,84.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,S,capacity_factor,,1.142,,0.682,0.695,,,,,0,,0.136,,0.002,,,,,0.218,,0.157,,,0,,,1.398,0.31,0.187,0.161,,0.173
subsidy-0,BE,S,capex_mn_EUR_per_yr,,,,74.551,82.127,,,,,0,,537.839,,7.606,,,,,28.969,,27.146,,,172.778,,,1539.604,721.785,701.174,265.104,,863.831
subsidy-0,BE,S,charged_TWh,,5.002,,,,,,,,,,,,,,,,,0,,0.308,,,,,,,,,1.274,,
subsidy-0,BE,S,curtailment_TWh,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,S,discharged_TWh,,4.603,,,,,,,,,,,,,,,,,0.136,,0.277,,,,,,,,,0.916,,
subsidy-0,BE,S,emissions_MtCO2,,11.466,,0,0,,,,,0,0,1.174,,0.001,,,,,0,,0,,,0,,,0,0,0,0,,0
subsidy-0,BE,S,export_TWh,,2.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,S,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
subsidy-0,BE,S,import_TWh,,18.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,S,inflow_TWh,,,,,,,,,,,,,,,,,,,0.137,,,,,,,,,,,,,
subsidy-0,BE,S,load_TWh,,50.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,S,net_import_TWh,,16.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,S,opex_mn_EUR,,,,86.672,132.401,,,,,0,,338.27,,0.151,,,,,,,0.553,,,0,,,278.954,0,0,3.664,,0
subsidy-0,BE,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947,0.92,0.911,,,0.837
subsidy-0,BE,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.061,0.069,,,0.129
subsidy-0,BE,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.019,0.02,,,0.034
subsidy-0,BE,S,production_TWh,,164.506,,1.056,1.866,,,,,0,0,2.988,,0.001,,,,,0.136,,0.277,,,0,,,12.68,3.057,3.745,0.916,,8.977
subsidy-0,BE,S,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
subsidy-0,BE,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.006,,,0.028
subsidy-0,BE,S,production_hours,,,,3543,3202,,,,,0,0,1809,,9,,,,,4368,,888,,,0,,,,,,947,,
subsidy-0,BE,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.052,3.738,,,8.949
subsidy-0,BE,S,wholesale_expenses_mn_EUR,775.446,,,,,,,,,,,,,,,,,,0,,23.434,,,,,,,,,91.713,,
subsidy-0,BE,S,wholesale_revenues_mn_EUR,-3.588,,,101.18,179.047,,,,,0,,319.281,,0.152,,,,,11.809,,26.328,,,0,,,1094.024,239.434,289.08,87,,674.954
subsidy-0,BE,W,avg_consumer_price_EUR_per_MWh,,98.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,W,avg_producer_price_EUR_per_MWh,,98.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,W,capacity_factor,,1.136,,0.917,0.905,,,,,0,,0.523,,0.002,,,,,0.378,,0.208,,,0.001,,,1.597,0.477,0.354,0.064,,0.071
subsidy-0,BE,W,capex_mn_EUR_per_yr,,,,74.551,82.127,,,,,0,,537.839,,7.606,,,,,28.969,,27.146,,,172.778,,,1539.604,721.785,701.174,265.104,,863.831
subsidy-0,BE,W,charged_TWh,,5.002,,,,,,,,,,,,,,,,,0,,0.409,,,,,,,,,0.509,,
subsidy-0,BE,W,curtailment_TWh,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,W,discharged_TWh,,4.603,,,,,,,,,,,,,,,,,0.237,,0.369,,,,,,,,,0.367,,
subsidy-0,BE,W,emissions_MtCO2,,11.466,,0,0,,,,,0,0,4.55,,0.001,,,,,0,,0,,,0.007,,,0,0,0,0,,0
subsidy-0,BE,W,export_TWh,,3.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,W,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
subsidy-0,BE,W,import_TWh,,15.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,W,inflow_TWh,,,,,,,,,,,,,,,,,,,0.238,,,,,,,,,,,,,
subsidy-0,BE,W,load_TWh,,57.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,W,net_import_TWh,,12.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,W,opex_mn_EUR,,,,111.601,171.456,,,,,0,,1246.015,,0.218,,,,,0.474,,0.739,,,1.006,,,320.525,0,0,1.467,,0
subsidy-0,BE,W,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976,0.976,0.975,,,0.893
subsidy-0,BE,W,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.017,0.019,,,0.076
subsidy-0,BE,W,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.006,0.007,,,0.031
subsidy-0,BE,W,production_TWh,,164.506,,1.427,2.442,,,,,0,0,11.582,,0.001,,,,,0.237,,0.369,,,0.007,,,14.569,4.738,7.13,0.367,,3.685
subsidy-0,BE,W,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,0.007,,,,,,,,
subsidy-0,BE,W,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.004,,,0.012
subsidy-0,BE,W,production_hours,,,,4165,4034,,,,,0,0,3020,,11,,,,,4392,,1134,,,21,,,,,,390,,
subsidy-0,BE,W,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.735,7.126,,,3.673
subsidy-0,BE,W,wholesale_expenses_mn_EUR,818.299,,,,,,,,,,,,,,,,,,0,,38.973,,,,,,,,,41.28,,
subsidy-0,BE,W,wholesale_revenues_mn_EUR,8.489,,,144.381,247.793,,,,,0,,1247.166,,0.221,,,,,23.361,,37.072,,,0.978,,,1424.942,435.306,649.062,36.597,,332.396
subsidy-0,BE,Y,avg_consumer_price_EUR_per_MWh,,93.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,Y,avg_producer_price_EUR_per_MWh,,92.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,BE,Y,capacity_GW,,32.972,,0.354,0.615,,,,,2.601,,5.041,,0.14,,,,,0.143,,0.404,,,1.594,,,2.077,2.26,4.588,1.305,,11.85
subsidy-0,BE,Y,capacity_factor,,0.285,,0.8,0.8,,,,,0,,0.33,,0.002,,,,,0.298,,0.183,,,0.001,,,1.498,0.394,0.271,0.112,,0.122
subsidy-0,BE,Y,capex_mn_EUR_per_yr,,,,74.551,82.127,,,,,0,,537.839,,7.606,,,,,28.969,,27.146,,,172.778,,,1539.604,721.785,701.174,265.104,,863.831
subsidy-0,BE,Y,charged_TWh,,2.501,,,,,,,,,,,,,,,,,0,,0.718,,,,,,,,,1.783,,
subsidy-0,BE,Y,curtailment_TWh,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
